Date,Open,High,Low,Last,Volume,Open Interest
2013-03-11,,700.0,700.0,700.0,0.0,0.0
2013-03-08,,698.0,698.0,698.0,0.0,0.0
2013-03-07,,699.0,699.0,699.0,0.0,0.0
2013-03-06,,689.0,689.0,689.0,0.0,0.0
2013-03-05,,709.0,709.0,709.0,0.0,0.0
2013-03-04,,702.0,702.0,702.0,0.0,0.0
2013-03-01,,720.0,720.0,720.0,0.0,0.0
2013-02-28,,708.0,708.0,708.0,0.0,0.0
2013-02-27,,698.0,698.0,698.0,0.0,0.0
2013-02-26,,697.0,697.0,697.0,0.0,0.0
2013-02-25,,696.0,696.0,696.0,0.0,0.0
2013-02-22,,714.0,714.0,714.0,0.0,0.0
2013-02-21,,721.0,721.0,721.0,0.0,0.0
2013-02-20,,741.0,741.0,741.0,0.0,0.0
2013-02-19,,734.0,734.0,734.0,0.0,0.0
2013-02-15,,742.0,742.0,742.0,0.0,0.0
2013-02-14,,740.0,740.0,740.0,0.0,0.0
2013-02-13,,745.0,745.0,745.0,0.0,0.0
2013-02-12,,743.0,743.0,743.0,0.0,0.0
2013-02-11,,753.0,753.0,753.0,0.0,0.0
2013-02-08,,764.0,764.0,764.0,0.0,0.0
2013-02-07,,765.0,765.0,765.0,0.0,0.0
2013-02-06,,773.0,773.0,773.0,0.0,0.0
2013-02-05,,771.0,771.0,771.0,0.0,0.0
2013-02-04,,780.0,780.0,780.0,0.0,0.0
2013-02-01,,784.0,784.0,784.0,0.0,0.0
2013-01-31,,794.0,794.0,794.0,0.0,0.0
2013-01-30,,797.0,797.0,797.0,0.0,0.0
2013-01-29,,787.0,787.0,787.0,0.0,0.0
2013-01-28,,789.0,789.0,789.0,0.0,0.0
2013-01-25,,786.0,786.0,786.0,0.0,0.0
2013-01-24,,779.0,779.0,779.0,0.0,0.0
2013-01-23,,787.0,787.0,787.0,0.0,0.0
2013-01-22,,787.0,787.0,787.0,0.0,0.0
2013-01-18,,799.0,799.0,799.0,0.0,0.0
2013-01-17,,793.0,793.0,793.0,0.0,0.0
2013-01-16,,798.0,798.0,798.0,0.0,0.0
2013-01-15,,794.0,794.0,794.0,0.0,0.0
2013-01-14,,780.0,780.0,780.0,0.0,0.0
2013-01-11,,764.0,764.0,764.0,0.0,0.0
2013-01-10,,754.0,754.0,754.0,0.0,0.0
2013-01-09,,758.0,758.0,758.0,0.0,0.0
2013-01-08,,764.0,764.0,764.0,0.0,0.0
2013-01-07,,762.0,762.0,762.0,0.0,0.0
2013-01-04,,759.0,759.0,759.0,0.0,0.0
2013-01-03,,765.0,765.0,765.0,0.0,0.0
2013-01-02,,765.0,765.0,765.0,0.0,0.0
2012-12-31,,781.0,781.0,781.0,0.0,0.0
